LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-64, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-64, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-64, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-47, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-48, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-48, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-48, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-81, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-81, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-48, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-48, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-48, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-64, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-64, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-81, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-81, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-81, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-64, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-64, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-47, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-64, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-47, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-47, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-47, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-64, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-47, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-64, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-64, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-64, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-48, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-48, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-48, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-48, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-93, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-93, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-48, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-48, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-89, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-78, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-50, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-50, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-33, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-33, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-33, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-33, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-33, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-50, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-50, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-50, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-50, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-50, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-42, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-42, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-42, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-42, WPA2 ,0.000000,0.000000,0.000,0.000,AP
